asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B0BLMSS3TT,"Carry On Luggage 22x14x9 Airline Approved, 1OO% PC Lightweight Carry On Hardside Suitcase, 20 Inch Hard Shell Luggage with Spinner Wheels, Waterproof Rolling Suitcase, Silver Gray",https://m.media-amazon.com/images/I/71Zm6eg23zL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BLMSS3TT,4.3,0,84.79,109.99,104,False,100
B071L7V8YH,suitcases Softside Spinner,https://m.media-amazon.com/images/I/71qhXzPsfcL._AC_UL320_.jpg,https://www.amazon.com/dp/B071L7V8YH,4.4,0,102.75,0.0,104,False,50
B0BTZZ24ZK,"Saire LTE Softside Expandable Luggage Wheels, Black, Medium Spinner",https://m.media-amazon.com/images/I/714eAQ24mWL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BTZZ24ZK,4.5,0,168.97,0.0,104,False,50
B0C89RR1VS,24 Inch Luggage Suitcase Lightweight with Spinner Wheels TSA Lock Hardside Medium Checked Luggage Durable Rolling Suitcase Black,https://m.media-amazon.com/images/I/51g2hxn+2bL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C89RR1VS,4.6,0,89.99,99.99,104,False,0
B0BJ2BPX67,"Luggage Sets 4-Piece (16/20/24/28)"" Expandable Suitcases with Wheels PC+ABS Durable Hardside Luggage Clearance OliveGreen",https://m.media-amazon.com/images/I/811m7pjPnxL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJ2BPX67,4.4,0,209.99,0.0,104,False,0
B0C2ZSDYFH,Luggage Covers For Suitcase Tsa Approved Luggage Cover PVC Clear Suitcase Covers for Luggage Waterproof Suitcase Cover Fits 28inch Travel Case,https://m.media-amazon.com/images/I/71djhyL+IsL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C2ZSDYFH,3.9,0,18.65,0.0,104,False,0
B001DWK4NM,"Amsterdam Expandable Rolling Upright Luggage, Burgundy, Checked-Medium 25-Inch",https://m.media-amazon.com/images/I/71D-CSCQN2L._AC_UL320_.jpg,https://www.amazon.com/dp/B001DWK4NM,4.2,0,85.25,0.0,104,False,600
B09SBYYDRH,"7739 Hardside Luggage Trunk with Spinner Wheels, Blush, 2-Piece Set (19/26)",https://m.media-amazon.com/images/I/91WNcDrbhBL._AC_UL320_.jpg,https://www.amazon.com/dp/B09SBYYDRH,4.6,0,257.96,299.99,104,False,0
B0BJ5X9LXZ,20 Inch Carry On Luggage Hard Shell Suitcases with Wheels Lightweight Travel Luggage for Weekender Suitcase with Lock Rolling Luggage with Front Pocket(Cuban Sand),https://m.media-amazon.com/images/I/61ZnxpditaL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BJ5X9LXZ,4.4,0,169.89,0.0,104,False,50
B07V6MZQP4,"Women’s Spontaneous 31-inch Softside Spinner Wheel Luggage, Integrated TSA Accepted Lock, Black Noir, Checked-Large",https://m.media-amazon.com/images/I/61BAX4Gu3xL._AC_UL320_.jpg,https://www.amazon.com/dp/B07V6MZQP4,4.6,0,282.13,0.0,104,False,0
B08XMYH4L2,"Chatelet Air Hardside Luggage, Spinner Wheels, Chocolate Brown, Checked-Medium 24 Inch",https://m.media-amazon.com/images/I/81YGJqYe2oL._AC_UL320_.jpg,https://www.amazon.com/dp/B08XMYH4L2,4.6,0,269.99,0.0,104,False,50
B09NL1XGRT,Luggage Set 2PCS Suitcase PC+ABS Carry On Luggage with Spinner Wheel,https://m.media-amazon.com/images/I/61LGokca0OL._AC_UL320_.jpg,https://www.amazon.com/dp/B09NL1XGRT,4.2,0,139.99,0.0,104,False,200
B0BKKXDVVM,"Luggage Suitcases With Spinner Wheels,Upgrade Wide Handle PC Hardshell Rolling Travel Suitcase with TSA Lock, Checked-Medium 24-Inch, Smoke White",https://m.media-amazon.com/images/I/61Y-d+1zhVL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKKXDVVM,4.4,0,199.99,0.0,104,False,50
B07MK2KDF1,Alpha Short Trip Expandable 4-Wheeled Packing Case - Roller Bag for Short Trips & Weekend Getaways - Carry-On Luggage with 4 Spinner Wheels - Travel Suitcase for Men & Women - Black,https://m.media-amazon.com/images/I/71Dsvyw7ElL._AC_UL320_.jpg,https://www.amazon.com/dp/B07MK2KDF1,4.4,0,1195.0,0.0,104,False,0
B0C9938WYL,"Large Luggage Suitcase with Wheels, Check-in 24 Inch Harside Bag with 70/30 Split, Wet Dry Separation, TSA Lock for Travel, Women, Checked-Medium Hard Shell Trunk (White)",https://m.media-amazon.com/images/I/71uu0xutL4L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9938WYL,4.8,0,129.99,0.0,104,False,50
B07WNKXYYB,"Out of Bounds, Rose Gold, 24-Inch Checked",https://m.media-amazon.com/images/I/81fMpNkyrZL._AC_UL320_.jpg,https://www.amazon.com/dp/B07WNKXYYB,4.4,0,99.99,0.0,104,False,100
B00MQF5QR4,"Titanium Hardside Expandable Luggage with Spinner Wheels, Silver, Checked-Large 29 Inch,207183011",https://m.media-amazon.com/images/I/71KaGdlEP1L._AC_UL320_.jpg,https://www.amazon.com/dp/B00MQF5QR4,4.4,0,169.99,0.0,104,False,0
B092CVP1V8,"Road Runner Pro Carry-On Luggage, 20” Lightweight PC Hardside Suitcase with USB Charging Port, Spinner Trolley for Luggage with Front Compartment, TSA Lock (Black)",https://m.media-amazon.com/images/I/61Fio99UvyL._AC_UL320_.jpg,https://www.amazon.com/dp/B092CVP1V8,4.2,0,209.99,0.0,104,False,50
